"query","value"
"Number of specimens databased",6636
"Number of Australian specimens databased",4304
"Number of foreign specimens databased",2332
"Total number of specimen records edited",3210
"Number of records of Australian specimens edited",3033
"Number of foreign specimens edited",177
"Number of specimens databased by CIO",7
"Total number of specimen records edited by CIO",167
"Number of specimen records uploaded via the Workbench by CIO",2987
"Number of specimens databased by Collections volunteers",324
"Total number of specimen records in MELISR",840643
